Name,Date of First Email Sent,Day of First Email Sent,Date of First Received Email,Date of Last Interaction,Current Stage,Previous Stage,Stages (Grouped),Response,State,Region,Tuition,Role,Grade,Financial Aid %,Sent Email Count,Received Email Count,Date Created,Outreach Type,Last Email From,# of families that we connected',Calls,Newsletter?
Berean Christian High School,2024/02/12 7:39 AM,Monday,,2024/03/04 9:29 AM,Backlog,Imported,New Contacts,No reach,CA,West,10 - 15K,Principal,,,3,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,
Central Catholic High School,2024/02/12 7:49 AM,Monday,,2024/03/04 9:29 AM,Backlog,Imported,New Contacts,No reach,OR,West,15 - 20K,Counselor,,,3,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,
Foothill Christian School,,Saturday,,,Backlog,Backlog,New Contacts,No reach,CA,West,10 - 15K,,preschool-8,,0,0,2024/04/12 1:21 PM,,,,,
Mater Dei High School,,Saturday,,,Backlog,Imported,New Contacts,No reach,CA,West,15 - 20K,Learning Services Support Coordinator,,,0,0,2023/10/27 9:26 AM,,,,,
Pacific Union College Preparatory,2024/02/12 7:35 AM,Monday,,2024/03/04 9:22 AM,Backlog,Imported,New Contacts,No reach,CA,West,5 - 10K,Principal,,,3,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,
Rio Lindo Adventist Academy,2024/02/12 7:37 AM,Monday,,2024/03/04 9:19 AM,Backlog,Imported,New Contacts,No reach,CA,West,10 - 15K,Principal,,,3,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,
Rosary Academy,2024/02/12 7:40 AM,Monday,,2024/03/04 9:23 AM,Backlog,Imported,New Contacts,No reach,CA,West,15 - 20K,Learning Specialist,,,3,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,
San Joaquin Memorial High School,2024/02/12 7:40 AM,Monday,,2024/03/04 9:32 AM,Backlog,Imported,New Contacts,No reach,CA,West,10 - 15K,Counselor,,,3,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,
Servite High School,2024/02/12 7:46 AM,Monday,,2024/03/04 9:28 AM,Backlog,Imported,New Contacts,No reach,CA,West,15 - 20K,Counselor,,,3,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,
St. Mary's High School,,Saturday,,,Backlog,"Imported, Sent Intro MM","New Contacts, Sent Mail Merges",No reach,CA,West,15 - 20K,Counselor,,,0,0,2023/10/27 9:26 AM,,,,,
St. Paul - St. Vincent High School,2024/02/12 7:44 AM,Monday,,2024/03/04 9:27 AM,Backlog,Imported,New Contacts,No reach,CA,West,15 - 20K,Counselor,,,3,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,
Avenues The World School - Online,2024/03/02 11:43 PM,Saturday,2024/06/28 1:39 AM,2024/07/06 11:29 AM,Blocked,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,NY,Northeast,35 - 40K,"Head of School, New York",,32,10,2,2024/02/29 12:23 PM,,judy.fox@avenues.org,,,Sent
Baker Demonstration School,2024/03/02 11:34 PM,Saturday,2024/07/07 2:30 AM,2024/07/06 11:30 AM,Blocked,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,IL,Midwest,25 - 30K,Middle School Learning Specialist,,36,9,1,2024/02/29 12:23 PM,,cberg@bakerdemschool.org,,,Sent
Cambridge Montessori School,2024/03/15 10:56 PM,Friday,2024/07/05 12:20 AM,2024/07/04 9:20 AM,Blocked,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,MA,Northeast,35 - 40K,Student Services,,,10,1,2024/03/14 1:45 PM,,mailer-daemon@googlemail.com,,,Sent
Chaminade Madonna College Preparatory School,2024/02/19 11:35 PM,Monday,2024/06/26 11:21 PM,2024/06/26 8:21 AM,Blocked,"Received Summer Drip, Backlog, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,FL,South,15 - 20K,Learning Specialist,,25,11,1,2024/02/15 1:55 PM,,mailer-daemon@googlemail.com,,,Sent
Divine Savior Holy Angels High SchoolThis school has been claimed by the school or a school representative.,2024/02/16 11:34 PM,Friday,2024/04/04 12:22 AM,2024/07/03 8:26 AM,Blocked,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,WI,Midwest,15 - 20K,Academic Dean,,40,7,2,2024/02/15 1:55 PM,,mansfieldh@dsha.info,,,Sent
First Baptist Academy,2024/03/29 10:12 PM,Friday,2024/03/30 11:13 PM,2024/04/28 11:46 AM,Blocked,"Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,TX,South,20 - 25K,Head of School,,,4,12,2024/03/29 6:09 AM,,mailer-daemon@googlemail.com,,,Sent
GreenMount School,2024/04/29 11:13 PM,Monday,2024/04/29 11:13 PM,2024/05/08 8:37 AM,Blocked,"Blocked, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,MD,South,10 - 15K,Student Support Facilitator,,17,3,2,2024/04/27 8:36 AM,,mailer-daemon@googlemail.com,,,
Marin Waldorf School,2024/02/24 11:01 PM,Saturday,2024/07/05 12:19 AM,2024/07/04 9:19 AM,Blocked,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,FL,South,25 - 30K,Educational Support Teacher,,,8,1,2024/02/22 12:26 PM,,mailer-daemon@googlemail.com,,,Sent
Merion Mercy Academy,2024/01/10 12:35 AM,Wednesday,2024/01/17 2:19 AM,2024/07/03 8:22 AM,Blocked,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,PA,Northeast,20 - 25K,Assistant Head of School for Academics,,45%,10,4,2024/01/09 5:24 AM,,vprucnal@merion-mercy.com,,,Sent
Mother Seton Regional High School,2024/04/15 11:32 PM,Monday,2024/04/15 11:32 PM,2024/04/15 8:32 AM,Blocked,,"New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,NJ,Northeast,15 - 20K,Guidance Director,,,1,1,2024/04/13 5:02 AM,,mailer-daemon@googlemail.com,,,
Northwest Academy,2023/11/14 11:36 PM,Tuesday,2024/07/03 11:24 PM,2024/07/03 8:24 AM,Blocked,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,OR,West,25 - 30K,Learning Specialist & Instructional Support,,20,13,1,2023/11/13 11:00 PM,,mailer-daemon@googlemail.com,,,Sent
Our Lady of Mercy Academy,2024/04/15 11:42 PM,Monday,2024/07/06 1:20 AM,2024/07/05 10:20 AM,Blocked,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,NJ,Northeast,10 - 15K,Guidance Counselor,,30,12,1,2024/04/13 5:02 AM,,ms.dalponte@olmanj.org,,,
Palm Beach Day Academy,2024/02/24 8:03 AM,Saturday,2024/07/05 12:22 AM,2024/07/04 9:22 AM,Blocked,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,FL,South,35 - 40K,Learning Specialist - Upper Campus,,14,7,1,2024/02/22 12:26 PM,,mailer-daemon@googlemail.com,,,Sent
Pines Montessori School,2024/04/08 11:36 PM,Monday,2024/05/27 9:50 PM,2024/05/28 8:05 AM,Blocked,"Blocked, Imported, Sent Intro MM, Received Summer Drip","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,TX,South,10 - 15K,Head of School,,,7,3,2024/04/06 7:16 AM,,mailer-daemon@googlemail.com,,,
Riverbend School,2024/03/15 10:30 PM,Friday,2024/07/05 12:18 AM,2024/07/04 9:18 AM,Blocked,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,MA,Northeast,30 - 35K,Middle School Math Teacher/Math Specialist,,19,7,1,2024/03/14 1:45 PM,,mailer-daemon@googlemail.com,,,Sent
Sacred Heart Schools Chicago - The Academy and Hardey Prep,2024/03/02 11:36 PM,Saturday,2024/06/26 11:22 PM,2024/06/26 8:22 AM,Blocked,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,IL,Midwest,25 - 30K,Middle School Learning Specialist,,30,8,1,2024/02/29 12:23 PM,,mailer-daemon@googlemail.com,,,Sent
Sarasota Christian School,2024/02/24 8:06 AM,Saturday,2024/03/01 2:34 AM,2024/06/22 8:47 AM,Blocked,"Shared/will share our info with families, Ghosted, Engaged, Will call (unresponsive 2x), Scheduled phone call, Called but no answer, Contact Later, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services, Became Unresponsive, Blocked/Unsubscribe",No reach,FL,South,10 - 15K,Counselor,,,45,12,2024/02/22 12:26 PM,,precious@efcoachtutors.com,,Discovery chat,Sent
Sharp Academy,2024/04/08 11:43 PM,Monday,2024/06/15 12:46 AM,2024/07/05 10:19 AM,Blocked,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,TX,South,10 - 15K,Head of School,,30,7,2,2024/04/06 7:16 AM,,mailer-daemon@s2936.can1.stableserver.net,,,
